url,title,price,diqu,diqu,renqi,xiaoliang
http://pic11.secooimg.com/product/240/240/57/99/9c0596ccfe17450fa41eb34a7546bce0.jpg,【ins网红同款】APM Monaco/APM Monaco大小星星双流星项链女吊饰项坠六芒星锁骨毛衣颈链 AC3350OX 气质时尚百搭银首饰品潮<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>617,自营&直降&,自营&直降,2112,2144 
http://pic11.secooimg.com/product/240/240/10/49/d1bf1ac703644259b68f41a9ef594c55.png,BVLGARI/宝格丽 慈善款 925银黑色陶瓷项链 男女同款 CL856977<span class="subtitle">国庆假期，10月1日至10月6日暂停发货，10月7日起恢复发货</span>,<i>￥</i>5394,香港&自营&,香港&自营,1241,5688 
http://pic11.secooimg.com/product/240/240/2019/0725/f5d0c7ec83a64a238f7c78ff2712316c.jpg,SWAROVSKI/施华洛世奇 DUOEVILEYE 女士玫瑰金色恶魔之眼吊坠项链5172560<span class="subtitle"></span>,<i>￥</i>399,香港&自营&直降&,香港&自营&直降,5343,965 
http://pic11.secooimg.com/product/240/240/2019/0627/c751ac005ba444bc9f5b23eb3390b55c.jpg,SWAROVSKI/施华洛世奇 DANCE ROUND 女士跳动的心圆形/心形吊坠锁骨项链<span class="subtitle"></span>,<i>￥</i>1132,香港&自营&,香港&自营,3521,456 
http://pic11.secooimg.com/product/240/240/10/56/e80addcf62f3454d96ffceab9df5e9fb.jpg,【林志玲 姚晨 蔡依林同款】APM Monaco/APM Monaco金黄色英文名字首字母项链女 圆牌毛衣锁骨颈链 AC3880OXY 简约S925银挂件首饰品<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>850,自营&,自营,123,235 
http://pic11.secooimg.com/product/240/240/2019/0712/1fef70bf5be64d49b5033512a0df56c0.jpg,SWAROVSKI/施华洛世奇 女士小号天鹅吊坠锁骨项链<span class="subtitle"></span>,<i>￥</i>771,香港&自营&,香港&自营,733 ,1729 
http://pic11.secooimg.com/product/240/240/2019/0529/bbc46ff6bc3741ae99e690b3f2c7c1dd.jpg,SWAROVSKI/施华洛世奇 HINT女士玫瑰金色混搭多种镀层三环转运珠项链 5353666<span class="subtitle"></span>,<i>￥</i>1132,香港&自营&,香港&自营,34 ,1824 
http://pic11.secooimg.com/product/240/240/2019/0712/b2e4676607be4dafab7e439a70fe2936.jpg,SWAROVSKI/施华洛世奇 ICONIC SWAN 女士大号天鹅吊坠锁骨项链<span class="subtitle"></span>,<i>￥</i>861,香港&自营&,香港&自营,1241 ,1919 
http://pic11.secooimg.com/product/240/240/55/53/75f8b4c6cc3340379d8448bdff75597b.jpg,Swarovski/施华洛世奇 女士渐变色魅力天鹅项链女锁骨链 5215038<span class="subtitle"></span>,<i>￥</i>553,香港&自营&,香港&自营,23 ,2014 
http://pic11.secooimg.com/product/240/240/53/48/505f6cd94e0942d0b5cb03248c73cbcb.jpg,Tiffany &amp; Co./蒂芙尼  女士Tiffany T纯银MINI微笑形吊坠项链 GRP09006#<span class="subtitle"></span>,<i>￥</i>2902,美国&自营&,美国&自营,541 ,2109 
http://pic11.secooimg.com/product/240/240/97/54/a6419cf67c0f427986815b0f87f54044.jpg,Tiffany &amp; Co./蒂芙尼 Return To Tiffany系列 925银 红色珐琅迷你心形吊坠可调节项链 40/45cm 63520594<span class="subtitle">国庆假期，9月29日至10月7日暂停发货，10月8日起恢复发货</span>,<i>￥</i>1480,自营&,自营,2144 ,2112
http://pic11.secooimg.com/product/240/240/49/48/1082b6f6136542c7a2a748313b9e1c2f.jpg,SWAROVSKI 施华洛世奇 女士恶魔之眼项链锁骨链 5172560<span class="subtitle"></span>,<i>￥</i>534,香港&自营&,香港&自营,5688 ,1241
http://pic11.secooimg.com/product/240/240/2019/0524/3e17ab1441bd451d8cd1ba2272d87c5a.jpg,Swarovski/施华洛世奇 19新品 限量款 江疏影同款 女士红色经典天鹅Iconic Swan项链 5465400<span class="subtitle"></span>,<i>￥</i>968,香港&自营&,香港&自营,965 ,5343
http://pic11.secooimg.com/product/240/240/97/50/a2b8970f96334704b3b735d94df7fbba.png,BVLGARI/宝格丽  BVLGARI/宝格丽明星同款慈善款纯银陶瓷项链  CL856977<span class="subtitle">购买咨询请添加微信：secoo-007</span>,<i>￥</i>5192,香港&自营&,香港&自营,456 ,3521
http://pic11.secooimg.com/product/240/240/51/48/309f18fb6b2544c08d9e71ee15b362be.jpg,Swarovski/施华洛世奇 女士IconicSwan黑天鹅镀金色仿水晶项链吊坠大号 5347329<span class="subtitle"></span>,<i>￥</i>552,香港&自营&,香港&自营,235 ,123
http://pic11.secooimg.com/product/240/240/55/99/7c31c9908c70413aa2e0e83863880086.jpg,Swarovski/施华洛世奇 Sparkling DanceRound 跳动的心女士项链锁骨链 5279425<span class="subtitle"></span>,<i>￥</i>719,香港&自营&,香港&自营,1729 ,733 
http://pic11.secooimg.com/product/240/240/33/34/16703334.jpg,Swarovski/施华洛世奇 Tricia白色柔滑项链吊坠 5032907<span class="subtitle">国庆假期，10月1日至10月4日暂停发货，10月5日起恢复发货</span>,<i>￥</i>502,自营&,自营,1824 ,34 
http://pic11.secooimg.com/product/240/240/10/52/e455b26e5ac04510b71aca8ab3dbebaf.jpg,Swarovski/施华洛世奇 女士SwanSmall黑色仿水晶黑天鹅项链链坠小号 5347330<span class="subtitle"></span>,<i>￥</i>480,香港&自营&,香港&自营,1919 ,1241 
http://pic11.secooimg.com/product/240/240/97/10/af019fd05ebf427081c9653c18a7f305.jpg,Tiffany &amp; Co./蒂芙尼 Return To Tiffany系列 925银 蓝色珐琅迷你心形吊坠项链 GRP06366<span class="subtitle">国庆假期，9月29日至10月7日暂停发货，10月8日起恢复发货</span>,<i>￥</i>1480,自营&,自营,2014 ,23 
http://pic11.secooimg.com/product/240/240/2019/0611/35e7232f264a41c3be03959f3b207a30.jpg,HERMES /爱马仕  项链 popH 白色（金链，玫瑰金链，银链）<span class="subtitle">购买咨询  请添加微信：secoo-007</span>,<i>￥</i>4928,香港&自营&,香港&自营,2109 ,541 
http://pic11.secooimg.com/product/240/240/55/53/750ae0417e2a4d3bb61fb7288e40b527.jpg,Swarovski 施华洛世奇 19新品 江疏影同款 女士永恒蝴蝶结时尚项链吊坠 5440636<span class="subtitle"></span>,<i>￥</i>616,香港&自营&,香港&自营,2204 ,12
http://pic11.secooimg.com/product/240/240/2019/0604/8b7555ee0a0c4b329b4dfe071b32c784.jpg,Swarovski/施华洛世奇  DAZZLING SWAN 女士玫瑰金色水滴天鹅锁骨项链 5469989<span class="subtitle"></span>,<i>￥</i>916,香港&自营&,香港&自营,2300 ,245
http://pic11.secooimg.com/product/240/240/54/48/60413dd22f4c462db547ecdf0349a699.jpg,【明星同款】CIRCLE/CIRCLE日本珠宝 9K金项链几何条状锁骨吊坠 简约精致 女项链 项饰 首饰<span class="subtitle"></span>,<i>￥</i>2399,自营&,自营,2395 ,5689
http://pic11.secooimg.com/product/240/240/2019/0618/ab62278a459a49c6b912a15295dd83bf.jpg,HERMES /爱马仕  项链 poph 黑色吊坠，项链（玫瑰金，银色，金色)<span class="subtitle">购买咨询  请添加微信：secoo-007</span>,<i>￥</i>4398,香港&自营&,香港&自营,2490 ,580
http://pic11.secooimg.com/product/240/240/2019/0601/7193c2857f75434c95748334735d7462.jpg,Swarovski/施华洛世奇 渐变蓝色天鹅项链女 锁骨链女 5512094<span class="subtitle">国庆假期，10月1日至10月5日暂停发货，10月6日起恢复发货</span>,<i>￥</i>889,自营&,自营,2585 ,890
http://pic11.secooimg.com/product/240/240/36/75/16743675.jpg,【黑天鹅】SWAROVSKI/施华洛世奇~女士Swan金链黑天鹅项链 小号 5204133  女友礼品<span class="subtitle"></span>,<i>￥</i>815,香港&自营&,香港&自营,102,805
http://pic11.secooimg.com/product/240/240/56/54/8670b284b9dc4764941a7932b549d0a7.jpg,PANDORA/潘多拉海洋之心SK-XL001锁骨链串饰项链套装 送女友礼物<span class="subtitle"></span>,<i>￥</i>559,自营&直降&,自营&直降,245,214
http://pic11.secooimg.com/product/240/240/54/49/610b0c8dc1f143878b8012166cf58405.jpg,SWAROVSKI/施华洛世奇 2019新款 LIFELONG BOW 女士浪漫永恒蝴蝶结锁骨项链 5440636 / 5447082 / 5440643<span class="subtitle"></span>,<i>￥</i>1314,香港&自营&,香港&自营,756,456
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski/施华洛世奇 指环相扣项链 5240525<span class="subtitle">国庆假期，10月1日至10月2日暂停发货，10月3日起恢复发货</span>,<i>￥</i>896,自营&,自营,907,24
http://pic16.secooimg.com/imagesNew/searchList/tm.png,【明星同款】APM Monaco/APM Monaco星星流星六芒星项链女 简约时尚吊坠 9606 气质百搭锁骨毛衣链银饰品<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>930,自营&,自营,2255,2125
http://pic16.secooimg.com/imagesNew/searchList/tm.png,APM Monaco/APM Monaco黑色 玫瑰金色 大小星星/双流星项链女  AC3351BZT RC3351OX 时尚潮流吊饰项坠 锁骨毛衣链<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>1020,自营&,自营,12,2204 
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski/施华洛世奇 Duo Evil Eye镀18K金色恶魔之眼项链链坠5172560<span class="subtitle"></span>,<i>￥</i>511,香港&自营&,香港&自营,245,2300 
http://pic16.secooimg.com/imagesNew/searchList/tm.png,APM Monaco/APM Monaco彩虹项链女 欧美时尚毛衣链吊坠 AC4425MY 设计感潮流S925银饰品<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>1620,自营&,自营,5689,2395 
http://pic16.secooimg.com/imagesNew/searchList/tm.png,施华洛世奇小黑天鹅项链女锁骨链女<span class="subtitle">国庆假期，10月1日至10月5日暂停发货，10月6日起恢复发货</span>,<i>￥</i>889,自营&,自营,580,2490 
http://pic16.secooimg.com/imagesNew/searchList/tm.png,APM Monaco/APM Monaco母贝星星四叶草项链、吊饰、S925银时尚项坠、女毛衣链 AC3965XNA<span class="subtitle">国庆假期，9月28日至10月1日暂停发货，10月2日起恢复发货</span>,<i>￥</i>1160,自营&,自营,890,2585 
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski/施华洛世奇男士单环转运环项链5427142 5427127<span class="subtitle">国庆假期，10月1日至10月2日暂停发货，10月3日起恢复发货</span>,<i>￥</i>812,自营&,自营,805,102
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski 施华洛世奇 女士Dear Medium心心相印 永恒不变的爱项链 5194826<span class="subtitle"></span>,<i>￥</i>708,香港&自营&,香港&自营,214,245
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Tiffany &amp; Co./蒂芙尼 Return To Tiffany系列 925银 粉色珐琅迷你心形吊坠项链 40cm 28751249<span class="subtitle">国庆假期，9月29日至10月7日暂停发货，10月8日起恢复发货</span>,<i>￥</i>1480,自营&,自营,456,756
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski/施华洛世奇 女士精致典雅闪亮魅力四叶草项链 5368980<span class="subtitle"></span>,<i>￥</i>688,香港&自营&,香港&自营,24,907
http://pic16.secooimg.com/imagesNew/searchList/tm.png,Swarovski/施华洛世奇 ICONICSWAN系列 女士小号天鹅珍珠项链锁骨链 5411791<span class="subtitle"></span>,<i>￥</i>582,香港&自营&,香港&自营,2125,2255
